content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,tokens,clean_text,polarity_clean,sentiment_clean
"Lengkap,luas tempatnya",5,0.0,0.0,Positive,"['lengkap', 'luas', 'tempat']",lengkap luas tempat,0.0,Neutral
Memudahkan utk belanja,5,0.0,0.0,Positive,"['mudah', 'belanja']",mudah,0.0,Neutral
Oke,4,0.0,0.0,Positive,['oke'],oke,0.0,Neutral
smua barang frez terjaga mutunya.,5,0.0,0.0,Positive,"['smua', 'barang', 'frez', 'jaga', 'mutu']",smua jaga mutu,0.0,Neutral
Tdk bisa kl tdk scan barcode tdk bisapakai no hp aj,2,0.0,0.0,Negative,"['kl', 'scan', 'barcode', 'bisapakai', 'no', 'hp', 'aj']",kl scan barcode no hp aj,0.0,Neutral
Super indo supermarket Harga terjangkau murah Dan barang kualitas bagus Terima kasih,5,0.3333333333333333,0.6666666666666666,Positive,"['super', 'indo', 'supermarket', 'harga', 'jangkau', 'murah', 'barang', 'kualitas', 'bagus', 'terima', 'kasih']",indo supermarket jangkau murah kualitas terima kasih,0.0,Neutral
sering susah/hang dibuka ketika akan membayar di kasir,3,0.0,0.0,Neutral,"['susah', 'hang', 'buka', 'bayar', 'kasir']",susah bayar kasir,0.0,Neutral
Aplikasi SAMPAH !!!!!!! USELESS,1,-0.5,0.2,Negative,"['sampah', 'useless']",sampah useless,-0.5,Negative
Baik,5,0.0,0.0,Positive,[],,0.0,Neutral
Appa sih anjir mau daftar member syarat dan ketentuan gak keluar dan akhirnya gak bisa daftar...,1,0.0,0.0,Negative,"['appa', 'anjir', 'daftar', 'member', 'syarat', 'tentu', 'daftar']",daftar member syarat tentu daftar,0.0,Neutral
Mantap,5,0.0,0.0,Positive,['mantap'],mantap,0.0,Neutral
"Saya akan memberi bintang 5 jika di app sudah tersedia promo koran yg sedang berlangsung. Tidak hanya promo mingguan saja yg ada, saya ingin tau promo koran nya juga. Terima kasih",4,0.0,0.0,Positive,"['bintang', 'sedia', 'promo', 'koran', 'promo', 'minggu', 'tau', 'promo', 'koran', 'terima', 'kasih']",bintang sedia koran minggu tau koran terima kasih,0.0,Neutral
"Aplikasinya gunanya apa ya? Cari produk gak bisa, belanja online gak bisa, katalog gak ada.",1,0.0,0.0,Negative,"['aplikasi', 'guna', 'cari', 'produk', 'belanja', 'online', 'katalog']",aplikasi guna cari produk online katalog,0.0,Neutral
"Makin kesini makin gak jelas,cari promo koran aja gak bisa cek Nyaman yg lama",1,0.0,0.0,Negative,"['kesini', 'cari', 'promo', 'koran', 'cek', 'nyaman']",kesini cari koran cek nyaman,0.0,Neutral
Ok,5,0.5,0.5,Positive,['ok'],,0.0,Neutral
Sering minta diperbarui,3,0.0,0.0,Neutral,['baru'],baru,0.0,Neutral
Masa ga bisa nyari produk 😂.,1,0.0,0.0,Negative,"['nyari', 'produk']",nyari produk,0.0,Neutral
Selalu fresh,5,0.3,0.5,Positive,['fresh'],fresh,0.3,Positive
Lbh seneng blanja di superindo krn hrg tdk kemahalan n buah2an lbh seger,5,0.0,0.0,Positive,"['lbh', 'neng', 'blanja', 'hrg', 'mahal', 'n', 'buah', 'an', 'lbh', 'seger']",lbh neng blanja hrg mahal n buah an lbh seger,0.0,Neutral
Sangat puas barsng bagus dan murah,5,0.0,0.0,Positive,"['puas', 'barsng', 'bagus', 'murah']",puas murah,0.0,Neutral
Mantap,5,0.0,0.0,Positive,['mantap'],mantap,0.0,Neutral
Harga standar dab pelayanan cepat,5,0.0,0.0,Positive,"['harga', 'standar', 'dab', 'layan', 'cepat']",standar cepat,0.0,Neutral
Suka,5,0.0,0.0,Positive,['suka'],suka,0.0,Neutral
Baik,5,0.0,0.0,Positive,[],,0.0,Neutral
Banyak harga promonya,5,0.0,0.0,Positive,"['harga', 'promonya']",promonya,0.0,Neutral
Ok,5,0.5,0.5,Positive,['ok'],,0.0,Neutral
"Gajelas, suka logout sendiri, token tidak berlaku aneh padahal baru install dan bikin akun",1,0.0,0.0,Negative,"['gajelas', 'suka', 'logout', 'token', 'laku', 'aneh', 'install', 'bikin', 'akun']",gajelas suka logout token laku aneh install bikin akun,0.0,Neutral
Gak suka. Tiap buka aplikasi kok minta di update. Memenuhi space memori aja. Udah sih jgn minta update trs,1,0.0,0.0,Negative,"['suka', 'buka', 'penuh', 'space', 'memori', 'udah', 'jgn', 'trs']",suka penuh space memori udah jgn trs,0.0,Neutral
"Gak semua superindo bisa di aplikasi, busng buang kuota",1,0.0,0.0,Negative,"['busng', 'buang', 'kuota']",buang kuota,0.0,Neutral
Ribet harus update2 kalo memori sudah penuh jd ngga visa buka,1,0.0,0.0,Negative,"['ribet', 'memori', 'penuh', 'ngga', 'visa', 'buka']",ribet memori penuh ngga visa,0.0,Neutral
Sangat membantu,5,0.0,0.0,Positive,['bantu'],bantu,0.0,Neutral
Coba dulu bisa beli GK kalau bisa ane tambahin bintang 10000000000,3,0.0,0.0,Neutral,"['coba', 'beli', 'ane', 'tambahin', 'bintang']",coba beli ane tambahin bintang,0.0,Neutral
Memuaskan,5,0.0,0.0,Positive,['muas'],muas,0.0,Neutral
update malah kaya orang bego,1,0.0,0.0,Negative,"['kaya', 'orang', 'bego']",kaya orang bego,0.0,Neutral
"Amburadul aplikasinya, pilihan kota tidak bisa diubah. Tidak ada menu searching ... kalau ingin belanja item tertentu tidak bisa cek harga. Kurang komplit menu²nya Perbaikilah aplikasinya. Yang memudahkan konsumen.",2,0.0,0.0,Negative,"['amburadul', 'aplikasi', 'pilih', 'kota', 'ubah', 'menu', 'searching', 'belanja', 'item', 'cek', 'harga', 'komplit', 'menu', 'baik', 'aplikasi', 'mudah', 'konsumen']",amburadul aplikasi pilih kota ubah menu searching item cek komplit menu baik aplikasi mudah konsumen,0.0,Neutral
Bagus,5,0.0,0.0,Positive,['bagus'],,0.0,Neutral
Lengkap dan fresh,5,0.3,0.5,Positive,"['lengkap', 'fresh']",lengkap fresh,0.3,Positive
Ok,5,0.5,0.5,Positive,['ok'],,0.0,Neutral
Kurang suka kalau aplikasinya sering update terus jadi Bingung mending aplikasi yg sebelumya,3,0.0,0.0,Neutral,"['suka', 'aplikasi', 'bingung', 'mending', 'sebelumya']",suka aplikasi bingung mending,0.0,Neutral
belanja enak dan lega,4,0.0,0.0,Positive,"['belanja', 'enak', 'lega']",enak lega,0.0,Neutral
Good,1,0.7,0.6000000000000001,Negative,['good'],good,0.7,Positive
Kalo mau banyak bonus promo download aja. Banyak promo apalagi buat ibu ibu,5,0.0,0.0,Positive,"['bonus', 'promo', 'download', 'promo']",bonus download,0.0,Neutral
Memudahkan berbelanja dsn melihat prkmo yg ada,5,0.0,0.0,Positive,"['mudah', 'belanja', 'dsn', 'prkmo']",mudah,0.0,Neutral
"Sayang sekali, toko online daerah Bekasi belum terjangkau.",2,0.0,0.0,Negative,"['sayang', 'toko', 'online', 'daerah', 'bekas', 'jangkau']",sayang toko online daerah bekas jangkau,0.0,Neutral
"Semakin diupdate semakin membagongkan,,, kurang adanya fitur cari",1,0.0,0.0,Negative,"['diupdate', 'bagong', 'fitur', 'cari']",diupdate bagong fitur cari,0.0,Neutral
"Lumayan membantu,,tapi ga semua produk dapat diskon Appnya sering upgrade melulu",3,0.0,0.0,Neutral,"['lumayan', 'bantu', 'produk', 'diskon', 'appnya', 'upgrade', 'melulu']",lumayan bantu produk diskon appnya upgrade melulu,0.0,Neutral
"Paling pas yang ikan bakar,ayam panggang dll khusunya untuk jelang puasa ibu2 gak sah masak lagi tinggal beli ikan dan nyiapkan nasinya ...joooos gandoos",5,0.0,0.0,Positive,"['pas', 'ikan', 'bakar', 'ayam', 'panggang', 'dll', 'khusunya', 'jelang', 'puasa', 'sah', 'masak', 'tinggal', 'beli', 'ikan', 'nyiapkan', 'nasi', 'joooos', 'gandoos']",pas ikan bakar ayam dll puasa masak tinggal beli ikan gandoos,0.0,Neutral
"Ini setelah update kok malah jadi makin buruk??? Sulit untuk login atau bikin akun member baru??, ini HIRE IT nya belum gajian atau emang IT nya nge slot Mulu??? Atau masih magang",1,0.0,0.0,Negative,"['buruk', 'sulit', 'login', 'bikin', 'akun', 'member', 'hire', 'it', 'gaji', 'emang', 'it', 'nge', 'slot', 'mulu', 'magang']",buruk sulit login bikin akun member it gaji emang it nge slot mulu,0.0,Neutral
Makin jelek setelah di upgrade,1,0.0,0.0,Negative,"['jelek', 'upgrade']",jelek upgrade,0.0,Neutral
"Alhamdulillah saya menjadi custemer SUPERINDO sudah cukup lama, product - product di superindo selalu dijaga kualitasnya dan kesegaran nya.",5,0.0,0.0,Positive,"['alhamdulillah', 'custemer', 'product', 'product', 'jaga', 'kualitas', 'segar']",alhamdulillah custemer product product jaga kualitas segar,0.0,Neutral
"sebentar"" minta update .jd pgen uninstal .mles blanja lg",1,0.0,0.0,Negative,"['sebentar', 'pgen', 'uninstal', 'mles', 'blanja']",sebentar uninstal blanja,0.0,Neutral
Baru di update minta update baru lagi Udah gitu aplikasi nya gk sebagus yg dulu,2,0.0,0.0,Negative,"['udah', 'gitu', 'bagus']",udah gitu,0.0,Neutral
Oks,5,0.0,0.0,Positive,['oks'],oks,0.0,Neutral
Oke❤️,5,0.0,0.0,Positive,['oke'],oke,0.0,Neutral
"Cukup baik, barangnya serta pelayanannya semua OK",5,0.5,0.5,Positive,"['barang', 'layan', 'ok']",,0.0,Neutral
update mulu. ruwed,1,0.0,0.0,Negative,"['mulu', 'ruwed']",mulu,0.0,Neutral
sebel.banget minta update terus tapi tidak bisa buka katalog tulisan tidak ad internat pdhal kuota masih bnyak..hapus aja ni lama2,3,0.0,0.0,Neutral,"['sebel', 'banget', 'buka', 'katalog', 'tulis', 'ad', 'internat', 'pdhal', 'kuota', 'bnyak', 'hapus', 'ni']",sebel katalog tulis ad pdhal kuota bnyak hapus ni,0.0,Neutral
"Dekat rumah, lokasi di dlm apartment gunawangsa tidar, karyawan ramah n helpful, sayur n buah hampir semuanya fresh, kalo belanja di hari biasa aja biar tdk antri",5,0.3,0.5,Positive,"['rumah', 'lokasi', 'dlm', 'apartment', 'gunawangsa', 'tidar', 'karyawan', 'ramah', 'n', 'helpful', 'sayur', 'n', 'buah', 'fresh', 'belanja', 'biar', 'antri']",rumah lokasi dlm karyawan ramah n helpful sayur n buah fresh biar antri,0.3,Positive
Minta tolong aktif lagi donk superindo,5,0.0,0.0,Positive,"['tolong', 'aktif', 'donk']",tolong aktif donk,0.0,Neutral
Memuaskan,4,0.0,0.0,Positive,['muas'],muas,0.0,Neutral
Terlalu sering update,3,0.0,0.0,Neutral,[],,0.0,Neutral
Update mulu'😌😌,4,0.0,0.0,Positive,['mulu'],mulu,0.0,Neutral
Ok,5,0.5,0.5,Positive,['ok'],,0.0,Neutral
Banyak promo,5,0.0,0.0,Positive,['promo'],,0.0,Neutral
sangat puas,5,0.0,0.0,Positive,['puas'],puas,0.0,Neutral
lengkap dekat bersahabat...,5,0.0,0.0,Positive,"['lengkap', 'sahabat']",lengkap sahabat,0.0,Neutral
Oks banget....!,5,0.0,0.0,Positive,"['oks', 'banget']",oks,0.0,Neutral
Sangat memuaskan,5,0.0,0.0,Positive,['muas'],muas,0.0,Neutral
Banyak promo Dan pelayanan ramah.,5,0.0,0.0,Positive,"['promo', 'layan', 'ramah']",ramah,0.0,Neutral
Pelayan bagus lebih ditingkat lg ya ..,5,0.0,0.0,Positive,"['layan', 'bagus', 'tingkat']",tingkat,0.0,Neutral
Selalu minta updt.. setelah di updt malah makin jelek,1,0.0,0.0,Negative,"['updt', 'updt', 'jelek']",updt updt jelek,0.0,Neutral
Sangat membantu,5,0.0,0.0,Positive,['bantu'],bantu,0.0,Neutral
Good,4,0.7,0.6000000000000001,Positive,['good'],good,0.7,Positive
Tambah MEMBINGUNGKAN sekarang,1,0.0,0.0,Negative,['bingung'],bingung,0.0,Neutral
"bagus, aplikasinya sangat membantuuu",5,0.0,0.0,Positive,"['bagus', 'aplikasi', 'membantuuu']",aplikasi,0.0,Neutral
"Sebenrnya sangat mbantu aplikasi nie tapi tiap buka aplikasi sllu da instruksi pembaharuan terus lama2 jdi tdk efektif mnrt sya, ckup skli saja tdk setiap buka sllu do surh update trus",3,0.0,0.0,Neutral,"['sebenrnya', 'mbantu', 'nie', 'buka', 'sllu', 'da', 'instruksi', 'baharu', 'jdi', 'efektif', 'mnrt', 'sya', 'ckup', 'skli', 'buka', 'sllu', 'do', 'surh', 'trus']",mbantu nie sllu da instruksi baharu jdi efektif sya skli sllu do trus,0.0,Neutral
Terlalu sering update versi,1,0.0,0.0,Negative,[],,0.0,Neutral
Lumayan tp kadang lemot,4,0.0,0.0,Positive,"['lumayan', 'kadang', 'lot']",lumayan kadang lot,0.0,Neutral
Bagusss sihh,5,0.0,0.0,Positive,"['bagusss', 'sihh']",bagusss sihh,0.0,Neutral
dah kayak app apa aja.. minta di update trs,1,0.0,0.0,Negative,"['dah', 'kayak', 'trs']",dah kayak trs,0.0,Neutral
Jangan sering2 minta update ya miin,1,0.0,0.0,Negative,['miin'],,0.0,Neutral
Belanja di super indo sangat memuaskan,4,0.3333333333333333,0.6666666666666666,Positive,"['belanja', 'super', 'indo', 'muas']",indo muas,0.0,Neutral
Sempurna,5,0.0,0.0,Positive,['sempurna'],sempurna,0.0,Neutral
Ook,5,0.0,0.0,Positive,['ook'],,0.0,Neutral
Memuaskan,5,0.0,0.0,Positive,['muas'],muas,0.0,Neutral
"Ribet dikit"" update",2,0.0,0.0,Negative,"['ribet', 'dikit']",ribet dikit,0.0,Neutral
Kok nga bisa di buka ya,5,0.0,0.0,Positive,"['nga', 'buka']",nga,0.0,Neutral
Sangat terbantu sekali terutama saat dadakan membutuhkan sayuran dan daging fresh sudah tersedia 🤗,5,0.3,0.5,Positive,"['bantu', 'dada', 'butuh', 'sayur', 'daging', 'fresh', 'sedia']",bantu dada butuh sayur daging fresh sedia,0.3,Positive
Update Mulu deh mending ada perubahan yg signifikan di dalem aplikasi nya ini mah kaga adaa,2,0.0,0.0,Negative,"['mulu', 'mending', 'ubah', 'signifikan', 'dalem', 'mah', 'kaga', 'adaa']",mulu mending ubah signifikan mah kaga,0.0,Neutral
Banyak promonya,5,0.0,0.0,Positive,['promonya'],promonya,0.0,Neutral
Aku kasih rate 1 karena dikit dikit update,1,0.0,0.0,Negative,"['kasih', 'rate', 'dikit', 'dikit']",kasih dikit dikit,0.0,Neutral
bingung padahal sdh pake wifi bahkan data seluler sinyal full tulisan ny gak ada internet trs,5,0.35,0.55,Positive,"['bingung', 'pake', 'wifi', 'data', 'seluler', 'sinyal', 'full', 'tulis', 'ny', 'internet', 'trs']",bingung pake wifi data seluler sinyal full tulis ny internet trs,0.35,Positive
Mantap,5,0.0,0.0,Positive,['mantap'],mantap,0.0,Neutral
"Ok, luar biasa",5,0.5,0.5,Positive,['ok'],,0.0,Neutral
Nyaman belanja di superindo,5,0.0,0.0,Positive,"['nyaman', 'belanja']",nyaman,0.0,Neutral
Oke,5,0.0,0.0,Positive,['oke'],oke,0.0,Neutral
Belanja lebih dekat dan lengkap,5,0.0,0.0,Positive,"['belanja', 'lengkap']",lengkap,0.0,Neutral
Pelayanan menyenangkan,5,0.0,0.0,Positive,"['layan', 'senang']",senang,0.0,Neutral
Banyak promosinya,5,0.0,0.0,Positive,['promosi'],promosi,0.0,Neutral
Update melulu aplikasi nya,3,0.0,0.0,Neutral,['melulu'],melulu,0.0,Neutral
Ini kenapa habis di update gak bisa dibuka sih aplikasi nya?,1,0.0,0.0,Negative,"['habis', 'buka']",habis,0.0,Neutral
"Belanja murah, nyaman dan terlengkap",5,0.0,0.0,Positive,"['belanja', 'murah', 'nyaman', 'lengkap']",murah nyaman lengkap,0.0,Neutral
"Aplikasi membantu ibu2 mengetahui info2 diskonan harian,tp kadang info2 barangnya suka g ready",5,0.2,0.5,Positive,"['bantu', 'info', 'diskon', 'hari', 'kadang', 'info', 'barang', 'suka', 'g', 'ready']",bantu info diskon hari kadang info suka g ready,0.2,Positive
Belum bisa Update,1,0.0,0.0,Negative,[],,0.0,Neutral
Belanja murah dan dekat,5,0.0,0.0,Positive,"['belanja', 'murah']",murah,0.0,Neutral
Good!,5,0.875,0.6000000000000001,Positive,['good'],good,0.7,Positive
"APL nya ga jelas cuma buat scan member doang, mau liat produk yg ready/kosong ribet.",3,0.0,0.0,Neutral,"['apl', 'scan', 'member', 'doang', 'liat', 'produk', 'ready', 'kosong', 'ribet']",apl scan member doang liat produk ready kosong ribet,0.2,Positive
Bagus,5,0.0,0.0,Positive,['bagus'],,0.0,Neutral
"Senang belanja benar murah sekali, tapi kalau lagi promo",4,0.0,0.0,Positive,"['senang', 'belanja', 'murah', 'promo']",senang murah,0.0,Neutral
"Bisa jadi member dan dapat diskon yg banyak dari superindo adalah keuntungan tersendiri, jadi tahu banyak promo juga . The best pokony",5,1.0,0.3,Positive,"['member', 'diskon', 'untung', 'sendiri', 'promo', 'the', 'best', 'pokony']",member diskon untung sendiri the best,1.0,Positive
Good,5,0.7,0.6000000000000001,Positive,['good'],good,0.7,Positive
Nyesel update aplikasi yg baru.. lebih bagusan aplikasi yg lama,2,0.0,0.0,Negative,"['nyesel', 'bagus']",nyesel,0.0,Neutral
Cukup membantu melihat catalog promo,4,0.0,0.0,Positive,"['bantu', 'catalog', 'promo']",bantu catalog,0.0,Neutral
Belanja mudah,5,0.0,0.0,Positive,"['belanja', 'mudah']",mudah,0.0,Neutral
Good quality frirndly superindo bayemN nagelang,5,0.7,0.6000000000000001,Positive,"['good', 'quality', 'frirndly', 'bayemn', 'nagelang']",good,0.7,Positive
Antri panjang,3,0.0,0.0,Neutral,['antri'],antri,0.0,Neutral
Praktid,5,0.0,0.0,Positive,['praktid'],,0.0,Neutral
Mudah penggunaannya,5,0.0,0.0,Positive,"['mudah', 'guna']",mudah guna,0.0,Neutral
Pelayanan & Fasilitas Mantap,5,0.0,0.0,Positive,"['layan', 'fasilitas', 'mantap']",fasilitas mantap,0.0,Neutral
Bermanfaat sangat membatu info infonya,5,0.0,0.0,Positive,"['manfaat', 'batu', 'info', 'info']",manfaat batu info info,0.0,Neutral
Bagus sekali,5,0.0,0.0,Positive,['bagus'],,0.0,Neutral
"Barangnya komplit,pelayannya juga baik bgt",5,0.0,0.0,Positive,"['barang', 'komplit', 'layan', 'banget']",komplit,0.0,Neutral
Sukses seĺalu,5,0.0,0.0,Positive,"['sukses', 'alu']",sukses,0.0,Neutral
Good,5,0.7,0.6000000000000001,Positive,['good'],good,0.7,Positive
Memuaskan dan strategi 😃,5,0.0,0.0,Positive,"['muas', 'strategi']",muas strategi,0.0,Neutral
"Kurang banyak diskon, pas digunain masih lemot dan blm bisa delivery gratis kyk indo alfa",3,0.0,0.0,Neutral,"['diskon', 'pas', 'digunain', 'lot', 'delivery', 'gratis', 'kyk', 'indo', 'alfa']",diskon pas digunain lot delivery gratis kyk indo alfa,0.0,Neutral
Tambah promonya dong,5,0.0,0.0,Positive,['promonya'],promonya,0.0,Neutral
Solusi belanja hemat & lengkap,5,0.0,0.0,Positive,"['solusi', 'belanja', 'hemat', 'lengkap']",solusi hemat lengkap,0.0,Neutral
Top lah,5,0.5,0.5,Positive,['top'],top,0.5,Positive
Sangat membantu dapat info promo superindo,5,0.0,0.0,Positive,"['bantu', 'info', 'promo']",bantu info,0.0,Neutral
Pelayanan baik,5,0.0,0.0,Positive,['layan'],,0.0,Neutral
"Kenapa mau masuk nggak bisa-bisa ya, padahal udah bener.",3,0.0,0.0,Neutral,"['masuk', 'nggak', 'udah', 'bener']",masuk nggak udah bener,0.0,Neutral
Banyak harga promo dengan harga aseek🥰,5,0.0,0.0,Positive,"['harga', 'promo', 'harga', 'aseek']",,0.0,Neutral
Sangat informatif untuk kita sebelum belanja.. sudah lebih mudah juga Krn tidak harus diceklis yang promo,5,0.0,0.0,Positive,"['informatif', 'belanja', 'mudah', 'diceklis', 'promo']",informatif mudah,0.0,Neutral
Simple puas,5,0.0,0.35714285714285715,Positive,"['simple', 'puas']",simple puas,0.0,Neutral
Ok dan lancar,5,0.5,0.5,Positive,"['ok', 'lancar']",lancar,0.0,Neutral
"Ga bisa liat promo jsm yg bisa di liat cuma promo member aja,makin jelek aplikasinya, tolong di perbaiki lagi deh",1,0.0,0.0,Negative,"['liat', 'promo', 'jsm', 'liat', 'promo', 'member', 'jelek', 'aplikasi', 'tolong', 'baik']",liat jsm liat member jelek aplikasi tolong baik,0.0,Neutral
Pelayanan sangat baik& harganya oke,5,0.0,0.0,Positive,"['layan', 'harga', 'oke']",oke,0.0,Neutral
Tempat belanja kebutuhan sehari-hari yg nyaman & pelayanannya bagus.,5,0.0,0.0,Positive,"['belanja', 'butuh', 'hari', 'nyaman', 'layan', 'bagus']",butuh hari nyaman,0.0,Neutral
superindo selalu dihati,5,0.0,0.0,Positive,['hati'],hati,0.0,Neutral
sering eror,1,0.0,0.0,Negative,['eror'],eror,0.0,Neutral
Banyak promonya,5,0.0,0.0,Positive,['promonya'],promonya,0.0,Neutral
Diskon buat member banyak,5,0.0,0.0,Positive,"['diskon', 'member']",diskon member,0.0,Neutral
"Berbelanja jadi lebih mudah, tinggal pesan di aplikasi bisa diambil langsung ke lokasi",5,0.0,0.0,Positive,"['belanja', 'mudah', 'tinggal', 'pesan', 'ambil', 'langsung', 'lokasi']",mudah tinggal pesan ambil langsung lokasi,0.0,Neutral
Aplikasi lancar terus,5,0.0,0.0,Positive,['lancar'],lancar,0.0,Neutral
Bagus. . Lope banget,5,0.0,0.0,Positive,"['bagus', 'lope', 'banget']",,0.0,Neutral
Memuaskan sekali,5,0.0,0.0,Positive,['muas'],muas,0.0,Neutral
Kok katalognya ga bisa di perbesar?,5,0.0,0.0,Positive,"['katalog', 'besar']",katalog besar,0.0,Neutral
Jelek bgt si update mulu,2,0.0,0.0,Negative,"['jelek', 'banget', 'si', 'mulu']",jelek si mulu,0.0,Neutral
Lumayan banyak dapat harga prono dsna,5,0.0,0.0,Positive,"['lumayan', 'harga', 'prono', 'dsna']",lumayan prono,0.0,Neutral
Referensi yg up to date dpt katalog belanja.. mksih.,5,0.0,0.0,Positive,"['referensi', 'up', 'to', 'date', 'dpt', 'katalog', 'belanja', 'mksih']",up to date dpt katalog,0.0,Neutral
Superindo the best market,5,1.0,0.3,Positive,"['the', 'best', 'market']",the best market,1.0,Positive
Update bgt,5,0.0,0.0,Positive,['banget'],,0.0,Neutral
Mudah digunakan dan cukup membantu sih jadi tau apa aja yg lg promo,5,0.0,0.0,Positive,"['mudah', 'bantu', 'tau', 'promo']",mudah bantu tau,0.0,Neutral
Terlalu sering update...manfaat member nya kurang,1,0.0,0.0,Negative,"['manfaat', 'member']",manfaat member,0.0,Neutral
Sangat membantu,5,0.0,0.0,Positive,['bantu'],bantu,0.0,Neutral
Belanja mudah dan murah.,5,0.0,0.0,Positive,"['belanja', 'mudah', 'murah']",mudah murah,0.0,Neutral
Mantap,5,0.0,0.0,Positive,['mantap'],mantap,0.0,Neutral
Pelayanan ramah..... Tapi suka ganti2 tempat barang jadi membingungkan kl nyari barang tempatnya berubah.....,5,0.0,0.0,Positive,"['layan', 'ramah', 'suka', 'ganti', 'barang', 'bingung', 'kl', 'nyari', 'barang', 'tempat', 'ubah']",ramah suka ganti bingung kl nyari tempat ubah,0.0,Neutral
Kdng pembyran sulit sinyal klw pake app dana,4,0.0,0.0,Positive,"['kdng', 'pembyran', 'sulit', 'sinyal', 'klw', 'pake', 'dana']",kdng sulit sinyal klw pake dana,0.0,Neutral
"Aplikasi nya sih bagus,cuman masih bingung gt fungsinya member selain dapet harga member doang buat apalagi kita kan gk setiap barang yg promo member kita beli,saran aja coba tambahin fitur poin juga deh setiap belanja",3,0.0,0.0,Neutral,"['bagus', 'cuman', 'bingung', 'gt', 'fungsi', 'member', 'dapet', 'harga', 'member', 'doang', 'barang', 'promo', 'member', 'beli', 'saran', 'coba', 'tambahin', 'fitur', 'poin', 'belanja']",cuman bingung gt fungsi member dapet member doang member beli saran coba tambahin fitur poin,0.0,Neutral
Suruh update mulu heran.. Mau cek bntr update bebebohati lagi update,1,0.0,0.0,Negative,"['suruh', 'mulu', 'heran', 'cek', 'bntr', 'bebebohati']",suruh mulu heran cek,0.0,Neutral
Bagus,5,0.0,0.0,Positive,['bagus'],,0.0,Neutral
Belanja puas banyak promo,5,0.0,0.0,Positive,"['belanja', 'puas', 'promo']",puas,0.0,Neutral
Pelayanan bagus,5,0.0,0.0,Positive,"['layan', 'bagus']",,0.0,Neutral
Semakin banyak promo2 nya yaaaa🤍🤍🤍🤍,5,0.0,0.0,Positive,"['promo', 'yaaaa']",,0.0,Neutral
Bisa belanja hemat dengan promo produk,5,0.0,0.0,Positive,"['belanja', 'hemat', 'promo', 'produk']",hemat produk,0.0,Neutral
Lumayan lah buat liat2 promo,4,0.0,0.0,Positive,"['lumayan', 'liat', 'promo']",lumayan liat,0.0,Neutral
"gak bisa masuk ke aplikasinya, loading doang berhari-hari padahal sinyal aman2 aja gak gangguan, nyoba uninstal - instal ulang tapi hasilnya sama aja. fix bug, please",5,0.0,0.0,Positive,"['masuk', 'aplikasi', 'loading', 'doang', 'hari', 'sinyal', 'aman', 'ganggu', 'nyoba', 'uninstal', 'instal', 'ulang', 'hasil', 'fix', 'bug', 'please']",masuk aplikasi loading doang hari sinyal aman ganggu nyoba uninstal instal ulang hasil fix bug please,0.0,Neutral
Ngebantu bgt buat ibu rumah tangga yang MW hemat 😄,5,0.0,0.0,Positive,"['ngebantu', 'banget', 'rumah', 'tangga', 'mw', 'hemat']",ngebantu rumah tangga mw hemat,0.0,Neutral
"Semua baik ,bila ada kendala dibantu",5,0.0,0.0,Positive,"['kendala', 'bantu']",kendala bantu,0.0,Neutral
"Ternyata banyak diskon, nyesel Bru sekarang pake aplikasinya",5,0.0,0.0,Positive,"['diskon', 'nyesel', 'bru', 'pake', 'aplikasi']",diskon nyesel bru pake aplikasi,0.0,Neutral
Barang2nya oke bagus bagus,5,0.0,0.0,Positive,"['barang', 'oke', 'bagus', 'bagus']",oke,0.0,Neutral
"aplikasi ini sangat membantu,tp cepet banget updatenya",5,0.0,0.0,Positive,"['bantu', 'cepet', 'banget', 'updatenya']",bantu cepet updatenya,0.0,Neutral
Ada aqua gelas untuk hari ini ?,5,0.0,0.0,Positive,"['aqua', 'gelas']",aqua,0.0,Neutral
"Membuat kita mengetahui barang apa saja yang sedang turun harganya, dan membuat kita langsung cus ke lokasi untuk memburu dan membelinya 🙏🙂",5,0.0,0.0,Positive,"['barang', 'turun', 'harga', 'langsung', 'cus', 'lokasi', 'buru', 'bel']",turun langsung lokasi buru bel,0.0,Neutral
"Pokoknya toplah belanja di Superindo, klo ada promonya jauh lebih murah dari yang lainnya🫶🥰",5,0.0,0.0,Positive,"['pokok', 'top', 'belanja', 'klo', 'promonya', 'murah']",pokok top klo promonya murah,0.5,Positive
"Gak bs dibuka woii apk nya, udah install ulang ttp gak bs, gmn c ini",1,0.0,0.0,Negative,"['buka', 'woii', 'apk', 'udah', 'install', 'ulang', 'ttp', 'gmn', 'c']",apk udah install ulang ttp gmn c,0.0,Neutral
Belanja di Superindo ... Memuaskan,5,0.0,0.0,Positive,"['belanja', 'muas']",muas,0.0,Neutral
Katanya gratis coklat. Utk yg sudah coblos. Ternyata harus belanja dulu 100rb..gimmick hoax,1,0.0,0.0,Negative,"['gratis', 'coklat', 'coblos', 'belanja', 'rb', 'gimmick', 'hoax']",gratis coklat rb gimmick hoax,0.0,Neutral
Membantu memberi info sblm dtng ke lokasi,5,0.0,0.0,Positive,"['bantu', 'info', 'sblm', 'dtng', 'lokasi']",bantu info sblm dtng lokasi,0.0,Neutral
